trigger_sample,onset_sample,delay_ms,trigger_code
12139,12148,8.7890625,28
16192,16210,17.578125,14
20125,20136,10.7421875,10
23819,23839,19.53125,29
27495,27508,12.6953125,22
31394,31399,4.8828125,13
35156,35171,14.6484375,21
38883,38892,8.7890625,26
42662,42680,17.578125,39
46305,46316,10.7421875,34
50341,50360,18.5546875,8
54325,54337,11.71875,32
58379,58399,19.53125,40
62019,62034,14.6484375,10
65747,65754,6.8359375,14
69406,69424,17.578125,35
73066,73076,9.765625,25
76896,76916,19.53125,27
80846,80858,11.71875,37
84679,84698,18.5546875,40
88746,88760,13.671875,32
92611,92617,5.859375,15
96356,96371,14.6484375,27
99964,99973,8.7890625,40
103691,103710,18.5546875,34
107676,107687,10.7421875,12
111439,111458,18.5546875,18
115029,115042,12.6953125,17
118722,118729,6.8359375,6
122570,122586,15.625,34
126161,126170,8.7890625,32
129837,129856,18.5546875,19
133599,133611,11.71875,25
137295,137314,18.5546875,21
141277,141291,13.671875,7
145022,145028,5.859375,3
148955,148970,14.6484375,2
152888,152896,7.8125,26
156820,156838,17.578125,23
160497,160507,9.765625,36
164345,164364,18.5546875,35
168363,168375,11.71875,40
172196,172215,18.5546875,16
176280,176294,13.671875,6
179922,179929,6.8359375,20
183599,183615,15.625,8
187532,187541,8.7890625,6
191413,191432,18.5546875,24
195329,195340,10.7421875,14
199058,199078,19.53125,32
202938,202952,13.671875,21
206803,206809,5.859375,35
210428,210444,15.625,7
214464,214472,7.8125,17
218226,218243,16.6015625,18
222244,222254,9.765625,40
225938,225957,18.5546875,11
229973,229985,11.71875,37
233633,233637,3.90625,16
237446,237460,13.671875,39
241037,241044,6.8359375,7
244662,244679,16.6015625,27
248492,248502,9.765625,20
252357,252376,18.5546875,33
256324,256336,11.71875,28
260276,260295,18.5546875,12
263968,263982,13.671875,24
267952,267958,5.859375,18
271577,271593,15.625,19
275407,275416,8.7890625,13
279323,279341,17.578125,15
282914,282925,10.7421875,40
286848,286868,19.53125,19
290746,290759,12.6953125,31
294696,294701,4.8828125,29
298783,298797,13.671875,8
302510,302518,7.8125,9
306118,306136,17.578125,4
309795,309805,9.765625,12
313523,313543,19.53125,21
317131,317144,12.6953125,3
321183,321188,4.8828125,16
325168,325182,13.671875,40
328759,328766,6.8359375,21
332589,332606,16.6015625,19
336351,336361,9.765625,12
340147,340166,18.5546875,10
343909,343921,11.71875,17
347585,347590,4.8828125,40
351433,351447,13.671875,3
355383,355390,6.8359375,14
359213,359230,16.6015625,28
363300,363309,8.7890625,20
366942,366961,18.5546875,26
370995,371006,10.7421875,3
374945,374965,19.53125,10
378912,378924,11.71875,27
382916,382935,18.5546875,11
386795,386809,13.671875,1
390386,390393,6.8359375,34
394268,394284,15.625,27
397910,397919,8.7890625,24
401792,401811,18.5546875,20
405417,405429,11.71875,22
409110,409115,4.8828125,9
412992,413006,13.671875,26
416942,416949,6.8359375,31
420875,420891,15.625,11
424910,424919,8.7890625,7
428655,428673,17.578125,39
432366,432377,10.7421875,3
436163,436183,19.53125,18
439992,440005,12.6953125,2
443840,443845,4.8828125,22
447927,447941,13.671875,15
451689,451696,6.8359375,29
455724,455741,16.6015625,13
459726,459734,7.8125,25
463795,463813,17.578125,13
467677,467687,9.765625,23
471678,471698,19.53125,13
475714,475726,11.71875,32
479614,479634,19.53125,7
483426,483440,13.671875,8
487444,487450,5.859375,19
491531,491546,14.6484375,26
495567,495574,6.8359375,32
499294,499312,17.578125,39
503245,503254,8.7890625,31
506989,507009,19.53125,30
510871,510883,11.71875,27
514874,514893,18.5546875,33
518737,518750,12.6953125,35
522465,522471,5.859375,6
526466,526481,14.6484375,25
530245,530253,7.8125,7
534298,534315,16.6015625,4
537991,538001,9.765625,29
541788,541807,18.5546875,10
545789,545801,11.71875,40
549482,549487,4.8828125,36
553330,553344,13.671875,33
557006,557013,6.8359375,2
560734,560751,16.6015625,31
564496,564506,9.765625,35
568241,568260,18.5546875,23
571917,571929,11.71875,12
575765,575769,3.90625,28
579492,579507,14.6484375,22
583477,583484,6.8359375,39
587512,587528,15.625,13
591291,591300,8.7890625,12
595070,595089,18.5546875,36
599020,599031,10.7421875,7
602715,602735,19.53125,40
606749,606762,12.6953125,37
610597,610602,4.8828125,1
614581,614596,14.6484375,13
618189,618197,7.8125,22
622242,622259,16.6015625,7
666034,666051,16.6015625,7
669728,669738,9.765625,1
673370,673390,19.53125,5
677269,677281,11.71875,32
680894,680899,4.8828125,11
684878,684893,14.6484375,3
688572,688579,6.8359375,24
692624,692641,16.6015625,23
696643,696651,7.8125,9
700507,700526,18.5546875,30
704594,704604,9.765625,17
708237,708257,19.53125,30
712016,712028,11.71875,10
716051,716056,4.8828125,16
720087,720101,13.671875,17
723985,723992,6.8359375,23
727645,727661,15.625,40
731646,731655,8.7890625,2
735682,735700,17.578125,1
739427,739437,9.765625,38
743531,743550,18.5546875,12
747566,747578,11.71875,11
751208,751213,4.8828125,24
754885,754899,13.671875,2
758749,758757,7.8125,25
762580,762596,15.625,35
766427,766436,8.7890625,30
770018,770037,18.5546875,29
773797,773809,11.71875,36
777886,777905,18.5546875,10
781475,781489,13.671875,2
785151,785158,6.8359375,23
788930,788947,16.6015625,6
792709,792719,9.765625,36
796454,796473,18.5546875,3
800302,800313,10.7421875,28
803978,803983,4.8828125,26
807911,807925,13.671875,20
811878,811885,6.8359375,28
815555,815571,15.625,35
819522,819530,7.8125,9
823609,823626,16.6015625,17
827473,827483,9.765625,16
831509,831528,18.5546875,23
835390,835402,11.71875,35
838998,839003,4.8828125,36
843000,843014,13.671875,21
846950,846956,5.859375,9
850985,851001,15.625,20
855038,855046,7.8125,25
858646,858664,17.578125,28
862682,862692,9.765625,37
866717,866736,18.5546875,30
870513,870525,11.71875,35
874139,874143,3.90625,12
877935,877949,13.671875,15
881953,881960,6.8359375,26
885937,885953,15.625,35
889716,889725,8.7890625,14
893461,893480,18.5546875,39
897206,897217,10.7421875,18
900850,900869,18.5546875,3
904833,904846,12.6953125,27
908800,908805,4.8828125,21
912733,912748,14.6484375,38
916768,916775,6.8359375,35
920428,920445,16.6015625,24
924224,924233,8.7890625,10
928020,928039,18.5546875,33
931987,931999,11.71875,7
935939,935958,18.5546875,23
940007,940020,12.6953125,22
943735,943740,4.8828125,11
947360,947376,15.625,20
951139,951147,7.8125,6
955157,955175,17.578125,17
959193,959203,9.765625,4
963109,963128,18.5546875,22
966888,966900,11.71875,10
970823,970842,18.5546875,31
974463,974477,13.671875,13
978156,978164,7.8125,4
981850,981867,16.6015625,5
985800,985809,8.7890625,28
989494,989513,18.5546875,18
993375,993387,11.71875,7
997173,997193,19.53125,29
1000968,1000981,12.6953125,2
1004712,1004719,6.8359375,30
1008714,1008730,15.625,32
1012595,1012604,8.7890625,9
1016460,1016478,17.578125,23
1020068,1020079,10.7421875,33
1023729,1023748,18.5546875,20
1027712,1027725,12.6953125,24
1031713,1031718,4.8828125,7
1035766,1035780,13.671875,9
1039459,1039466,6.8359375,18
1043409,1043426,16.6015625,34
1047086,1047095,8.7890625,11
1051172,1051191,18.5546875,10
1054763,1054775,11.71875,24
1058630,1058649,18.5546875,16
1062270,1062284,13.671875,31
1066254,1066261,6.8359375,33
1069999,1070015,15.625,5
1073949,1073958,8.7890625,27
1077574,1077593,18.5546875,4
