trigger_code,label,count
1,stimulus_1,23
2,stimulus_2,29
3,stimulus_3,32
4,stimulus_4,29
5,stimulus_5,29
6,stimulus_6,29
7,stimulus_7,27
8,stimulus_8,24
9,stimulus_9,30
10,stimulus_10,28
11,stimulus_11,26
12,stimulus_12,25
13,stimulus_13,27
14,stimulus_14,29
15,stimulus_15,28
16,stimulus_16,25
17,stimulus_17,27
18,stimulus_18,25
19,stimulus_19,28
20,stimulus_20,26
21,stimulus_21,28
22,stimulus_22,27
23,stimulus_23,29
24,stimulus_24,22
25,stimulus_25,26
26,stimulus_26,29
27,stimulus_27,33
28,stimulus_28,28
29,stimulus_29,30
30,stimulus_30,29
31,stimulus_31,30
32,stimulus_32,30
33,stimulus_33,28
34,stimulus_34,33
35,stimulus_35,25
36,stimulus_36,28
37,stimulus_37,33
38,stimulus_38,28
39,stimulus_39,25
40,stimulus_40,33
81,fixation_post_stim,1120
92,fixation_post_run,7
93,screen_instruction,6
95,screen_end_run,7
100,response_valid_base,189
101,response_1,245
110,response_invalid,1
111,response_proceed,13
121,block_start_1,7
131,block_end_1,7
141,run_start_1,1
142,run_start_2,1
143,run_start_3,1
144,run_start_4,1
145,run_start_5,1
146,run_start_6,1
147,run_start_7,1
151,run_end_1,1
152,run_end_2,1
153,run_end_3,1
154,run_end_4,1
155,run_end_5,1
156,run_end_6,1
157,run_end_7,1
